docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,p279_path,retry_source,match_stage,is_disambiguation,label_similarity,match_score,p31_types,p31_label
1002652,Urban stormwater source control policies: why and how?,Stormwater management,,,,,none,none,no,0.0,0.0,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > populated place > region,exact_label,exact_label,no,100.0,50.0,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > populated place > artificial geographic entity,exact_label,exact_label,no,100.0,50.0,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of artificial physical objects,exact_label,exact_label,no,100.0,50.0,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of geographic locations,exact_label,exact_label,no,100.0,50.0,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of works,exact_label,exact_label,no,100.0,50.0,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > architectural structure,exact_label,exact_label,no,100.0,50.0,,
1002652,Urban stormwater source control policies: why and how?,Source control,,,,,none,none,yes,0.0,0.0,,
1002652,Urban stormwater source control policies: why and how?,Policy-making,,,,,none,none,no,0.0,0.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Mixed convection,,,,,none,none,no,0.0,0.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Poiseuille-Rayleigh-Bénard flow,,,,,none,none,no,0.0,0.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Convective instability,Convective instability,Q3268911,,instability > state > phenomenon,context,context,no,100.0,111.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Convective instability,Convective instability,Q3268911,,instability > state > property,context,context,no,100.0,111.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Convective instability,Convective instability,Q3268911,,instability > risk source > contributing factor,context,context,no,100.0,111.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Convective instability,Convective instability,Q3268911,,instability > risk source > source,context,context,no,100.0,111.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Rectangular channel,,,,,none,none,no,0.0,0.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Harmonic inlet excitation,,,,,none,none,no,0.0,0.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,CVD,,,,,none,none,no,0.0,0.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,3D numerical simulations,,,,,none,none,no,0.0,0.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Design of experiments,Design of experiments,Q18465858,,,context,context,no,100.0,113.0,,
1015505,The impact of recent reforms on the institutional governance of French universities,France,France,Q142,152383070,,context,context,no,100.0,113.0,Q20181813;Q3624078;Q51576574;Q6256;Q7270,Mediterranean country;sovereign state;country;republic;colonial power
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > service provider,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > educational organization,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > educational institution,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > service provider,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > educational organization,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > educational institution,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > research institute > research organization,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > research institute > institute,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > academic organisation > organization,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,geolocatable entity > material entity > independent continuant,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,geolocatable entity > concrete object > object,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,geolocatable entity > concrete object > individual item,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,geolocatable entity > occurrence > occurrent,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,Governance,governance,Q1553864,,regulation > process > occurrent,context,context,no,90.0,142.0,Q11862829;Q1914636;Q96758092,academic discipline;type of regulation and control;activity
1015505,The impact of recent reforms on the institutional governance of French universities,Governance,governance,Q1553864,,regulation > process > sequence,context,context,no,90.0,142.0,Q11862829;Q1914636;Q96758092,academic discipline;type of regulation and control;activity
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Component mode synthesis,,,,,none,none,no,0.0,0.0,,
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Dynamic substructuring,dynamic substructuring,Q25112238,,,context,context,no,95.5,107.3,,
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Flexible interface,,,,,none,none,no,0.0,0.0,,
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Computational mechanics,computational mechanics,Q919765,,mechanics > physics > natural science,context,context,no,95.7,113.4,,
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Computational mechanics,computational mechanics,Q919765,,mechanics > physics > physical sciences,context,context,no,95.7,113.4,,
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Computational mechanics,computational mechanics,Q919765,,computational physics > computational science > applied mathematics,context,context,no,95.7,113.4,,
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Computational mechanics,computational mechanics,Q919765,,computational physics > computational science > computer science,context,context,no,95.7,113.4,,
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Computational mechanics,computational mechanics,Q919765,,computational physics > physics > natural science,context,context,no,95.7,113.4,,
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Computational mechanics,computational mechanics,Q919765,,computational physics > physics > physical sciences,context,context,no,95.7,113.4,,
1021415,A simple game generator for creating audio/tactile games,Tactile interface,,,,,none,none,no,0.0,0.0,,
1021415,A simple game generator for creating audio/tactile games,Computer game,Computer Gamer,Q868626,,,context,context,no,88.9,54.3,Q41298,magazine
1021415,A simple game generator for creating audio/tactile games,Game authoring tool,,,,,none,none,no,0.0,0.0,,
1021415,A simple game generator for creating audio/tactile games,Blind,Blind,Q60328,,,context,context,no,100.0,111.0,Q482994,album
1021415,A simple game generator for creating audio/tactile games,Visually disabled,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Security governance,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Neoliberalization,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Circulation of models,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,disruption > occurrence > occurrent,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,disruption > activity > process,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,disruption > stimulus > change,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > appliance,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > fixed construction,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > obstacle,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Gated residential development,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,City Improvement District,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Southern Africa,Southern Africa,Q27394,162726316,,context,context,no,100.0,143.0,Q3502482;Q82794,cultural region;region
1023779,Symposium on Circulation of Security Models in Southern African Cities,Johannesburg,Johannesburg,Q14714490,,,context,context,no,100.0,115.0,Q17343829,unincorporated community in the United States
1023779,Symposium on Circulation of Security Models in Southern African Cities,Cape Town,Cape Town,Q5465,119432557,,context,context,no,100.0,116.0,Q105742469;Q108178728;Q15042037;Q1549591;Q2264924,big city;national capital;legislative capital;statistical territorial entity;port city
1023779,Symposium on Circulation of Security Models in Southern African Cities,Windhoek,Windhoek,Q32042422,,,context,context,no,100.0,115.0,Q2042028,ravine
1023779,Symposium on Circulation of Security Models in Southern African Cities,Maputo,Maputo,Q3889,,,context,context,no,100.0,113.0,Q1549591;Q2264924;Q515;Q56036687,city;port city;municipality of Mozambique;big city
1023779,Symposium on Circulation of Security Models in Southern African Cities,Néoliberalisation,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Transfert de politiques,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Sécurité,sécurité,Q1470670,,,context,context,no,87.5,103.5,Q2355426,distress signal
1023779,Symposium on Circulation of Security Models in Southern African Cities,Mobilité des politiques urbaines,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,redevelopment > construction > economic activity,context,context,no,71.4,46.9,Q1441983,redevelopment
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,redevelopment > construction > construction,context,context,no,71.4,46.9,Q1441983,redevelopment
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,redevelopment > urban planning > spatial planning,context,context,no,71.4,46.9,Q1441983,redevelopment
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,government program > initiative > action,context,context,no,71.4,46.9,Q1441983,redevelopment
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,government program > initiative > voluntary action,context,context,no,71.4,46.9,Q1441983,redevelopment
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,government program > project > planned process,context,context,no,71.4,46.9,Q1441983,redevelopment
1023779,Symposium on Circulation of Security Models in Southern African Cities,Business Improvement Districts,Business improvement districts,Q105547388,,,context,context,no,93.3,109.0,Q105547310,business support scheme
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Corrosion,Corrosion,Q5173028,,,context,context,no,100.0,112.0,Q169930,extended play
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Ni-MH batteries,,,,,none,none,no,0.0,0.0,,
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Raman micro spectroscopy,,,,,none,none,no,0.0,0.0,,
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",TEM,Tem,Q36531,12167223r,Gurunsi > Gur > Volta–Congo,exact_label,exact_label,no,100.0,50.0,Q1288568;Q34770,language;modern language
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",TEM,Tem,Q36531,12167223r,Gurunsi > Gur > Niger–Congo,exact_label,exact_label,no,100.0,50.0,Q1288568;Q34770,language;modern language
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Combination of techniques,,,,,none,none,no,0.0,0.0,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Stability,Stability,Q7595719,,,context,context,no,100.0,111.0,Q7725634,literary work
1026130,Change and stability interaction processes in SMEs: a comparative case study,Small firms,,,,,none,none,no,0.0,0.0,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Mexico,Mexico,Q3710682,,,context,context,no,100.0,141.0,Q15127012;Q486972,human settlement;town in the United States
1026130,Change and stability interaction processes in SMEs: a comparative case study,ISO 9000 series,ISO 9000 series,Q206008,,,context,context,no,100.0,114.0,Q15087423,ISO standard
1026130,Change and stability interaction processes in SMEs: a comparative case study,Change management,change management,Q255144,,industrial engineering and management > engineering > applied science,context,context,no,94.1,113.5,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Change management,change management,Q255144,,industrial engineering and management > management > coordination,context,context,no,94.1,113.5,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Change management,change management,Q255144,,industrial engineering and management > management > control,context,context,no,94.1,113.5,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Change management,change management,Q255144,,industrial engineering and management > management > control,context,context,no,94.1,113.5,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Change,Change,Q1173443,15273058p,,context,context,no,100.0,112.0,Q484170,commune of France
1026130,Change and stability interaction processes in SMEs: a comparative case study,Case studies,Case studies,Q135402362,,,context,context,no,100.0,112.0,Q1980247,chapter
1052672,Belief functions in telecommunications and network technologies: an overview,THEORIE DES PROBABILITES,,,,,none,none,no,0.0,0.0,,
1052672,Belief functions in telecommunications and network technologies: an overview,TELECOMMUNICATION,Telecommunication,Q7695840,,,exact_label,exact_label,no,100.0,50.0,Q134556,single
1052672,Belief functions in telecommunications and network technologies: an overview,RESEAU DE TELECOMMUNICATIONS,,,,,none,none,no,0.0,0.0,,
1052672,Belief functions in telecommunications and network technologies: an overview,INCERTITUDE,Incertitude,Q106179101,,,exact_label,exact_label,no,100.0,50.0,Q3331189,"version, edition or translation"
1053257,Belief functions and uncertainty management in networks and telecommunication,TELECOMMUNICATION,Telecommunication,Q7695840,,,exact_label,exact_label,no,100.0,50.0,Q134556,single
1053257,Belief functions and uncertainty management in networks and telecommunication,INCERTITUDE,Incertitude,Q106179101,,,exact_label,exact_label,no,100.0,50.0,Q3331189,"version, edition or translation"
1053257,Belief functions and uncertainty management in networks and telecommunication,RESEAU DE TELECOMMUNICATIONS,,,,,none,none,no,0.0,0.0,,
